epoch,accuracy,loss,val_accuracy,val_loss
0,0.49473685026168823,1.9847710132598877,0.4166666567325592,1.7895909547805786
1,0.7666666507720947,0.7304608225822449,0.46666666865348816,1.6748731136322021
2,0.8929824829101562,0.3097418248653412,0.4833333194255829,2.1271731853485107
3,0.961403489112854,0.11082462966442108,0.5166666507720947,2.303938865661621
4,0.9824561476707458,0.053768232464790344,0.5333333611488342,2.442502021789551
5,0.9877192974090576,0.02732200175523758,0.550000011920929,2.4462153911590576
6,1.0,0.007691742852330208,0.550000011920929,2.511279344558716
7,0.9964912533760071,0.010289221070706844,0.5666666626930237,2.3996238708496094
8,1.0,0.00399005226790905,0.5333333611488342,2.5952529907226562
9,0.9947368502616882,0.009072194807231426,0.550000011920929,2.541320323944092
