epoch,accuracy,loss,val_accuracy,val_loss
0,0.3052631616592407,2.8452582359313965,0.5,2.0965569019317627
1,0.6684210300445557,1.1521856784820557,0.550000011920929,1.4197921752929688
2,0.7947368621826172,0.691551685333252,0.5666666626930237,1.6017811298370361
3,0.8315789699554443,0.5253676176071167,0.5833333134651184,1.5402812957763672
4,0.8999999761581421,0.2797817587852478,0.6333333253860474,1.5910146236419678
5,0.942105233669281,0.1672440469264984,0.550000011920929,1.8622536659240723
6,0.9473684430122375,0.15297870337963104,0.5833333134651184,2.2810821533203125
7,0.9684210419654846,0.0691392794251442,0.5333333611488342,2.130629301071167
8,0.9789473414421082,0.04935162514448166,0.5333333611488342,2.0174334049224854
9,0.9947368502616882,0.026041856035590172,0.5166666507720947,2.4083285331726074
10,0.9947368502616882,0.021476024761795998,0.6000000238418579,1.9604103565216064
11,0.9894737005233765,0.041127871721982956,0.5833333134651184,2.3945186138153076
12,0.9894737005233765,0.02405511774122715,0.5,2.86189866065979
13,0.9947368502616882,0.018577978014945984,0.5166666507720947,2.714381456375122
14,1.0,0.011407559737563133,0.6000000238418579,2.3953099250793457
15,1.0,0.002441114280372858,0.5833333134651184,2.3745439052581787
16,1.0,0.0039326706901192665,0.550000011920929,2.5123848915100098
17,1.0,0.0012828987091779709,0.550000011920929,2.5173439979553223
18,1.0,0.0029773705173283815,0.5166666507720947,2.566885232925415
19,1.0,0.002403110032901168,0.5,2.535686492919922
20,1.0,0.004582654684782028,0.4833333194255829,2.5385546684265137
21,1.0,0.0015559516614302993,0.4833333194255829,2.6740036010742188
22,1.0,0.001395067316479981,0.46666666865348816,2.8403704166412354
23,1.0,0.0026003792881965637,0.4833333194255829,2.9926035404205322
24,1.0,0.00150008755736053,0.4833333194255829,2.818718433380127
25,1.0,0.00130107079166919,0.5,2.839953660964966
26,1.0,0.00034282886190339923,0.4833333194255829,2.8501603603363037
27,1.0,0.0012622794602066278,0.5666666626930237,2.678485155105591
28,1.0,0.00039889823528937995,0.5666666626930237,2.6475915908813477
29,1.0,0.0012757363729178905,0.5666666626930237,2.6272616386413574
