epoch,accuracy,loss,val_accuracy,val_loss
0,0.3210526406764984,3.0865044593811035,0.4833333194255829,1.6589934825897217
1,0.49473685026168823,1.8056740760803223,0.44999998807907104,1.5384242534637451
2,0.6947368383407593,1.099196434020996,0.44999998807907104,1.5693137645721436
3,0.7947368621826172,0.7184667587280273,0.5,1.6413599252700806
4,0.821052610874176,0.6304609775543213,0.5333333611488342,1.579729437828064
5,0.8947368264198303,0.3517501950263977,0.5,1.688759446144104
6,0.9315789341926575,0.2075342833995819,0.4166666567325592,1.938867211341858
7,0.9157894849777222,0.23971229791641235,0.4333333373069763,1.9320663213729858
8,0.9473684430122375,0.13690787553787231,0.5,1.844323754310608
9,0.9210526347160339,0.1855274736881256,0.550000011920929,1.8900915384292603
